anchor_s1_id	other_s1_id	anchor_name	other_name	anchor_address	other_address	country	anchor_us_state	other_us_state
S1-594413022	S1-958740646	Happy Ice Cream	Happy Ice Cream	1162 Stone Ridge Drive, Unit B, Columbus, OH	TX, Dublin, 425 Eagle Street	US	OH	TX
S1-301459136	S1-994904668	Heartland Committee, Inc	Heartland Committee Inc.	61 White Pine Circle, Unit UNIT 101, Stafford County, VA	8808 189th Avenue Court, Bonney Lake, WA	US	VA	WA
S1-170855832	S1-622874768	Urban Diner LLC	Urban Diner LLC	7916 Vandemere Court, Raleigh, NC	64 Lovering Avenue, Unit Apartment 2, Buffalo, NY	US	NC	NY
S1-51925713	S1-317854633	The Dent Ice Cream	The Dent Ice Cream	1672 Timber Trail, City Of Chippewa Falls, WI	3254 Richardson Place Road, Unit APT 6, Arnold, MO	US	WI	MO
S1-260604505	S1-892577020	Delta Project	Delta Project	5355 Ebright Road, Canal Winchester, OH	Avon, IN, 562 Dylan Drive	US	OH	IN
S1-669522598	S1-905507550	Chiropractic Medicine	Chiropractic Medicine	103 Robin Lane, Carlisle, KY	2227 Baltimore Avenue, Muskogee, OK	US	KY	OK
S1-155083318	S1-981091224	Physical Therapy Partners Care	Physical Therapy Partners Care	5520 Tomahawk Drive, Unit G, Greensboro, NC	2144 Madison Street, Chicago, IL	US	NC	IL
S1-612107385	S1-418514604	Family Committee	Family Committee	1817 71st Street, Chicago, IL	3005 207, Flatwoods, KY	US	IL	KY
S1-734757526	S1-840218727	Heritage Design Industries LLC	Heritage Design Industries LLC	5918 Smith Road, OH, Brook Park	1111 Innsbrook Lane, Buffalo, MN	US	OH	MN
S1-341852453	S1-871302092	Cure Hypnosis	Cure Hypnosis!	Urbana, OH, 411 Railroad Street	2811 Monthaven Drive, Arlington, TX	US	OH	TX
S1-55178221	S1-967577604	Animal Welfare Council	Animal Welfare Council	6555 1000, Brownsburg, IN	451 Ethan Court, Newport News City, VA	US	IN	VA
S1-776672018	S1-530687623	Dermatology Center	Dermatology Center	1622 Riverdale Drive, Fl 0, Edgewater, MD	288 Mistletoe Lane, Vincent, AL	US	MD	AL
S1-281873145	S1-974185394	Temple Synagogue	Temple Synagogue	355 Old Farm Road, Danville, IN	10932 Bells Ridge Drive, Potomac, MD	US	IN	MD
S1-227750937	S1-846870843	Surgical Physicians LLC	Surgical Physicians LLC	11420 Todhunter Road, Leesburg, OH	75 Cottonwood Road, Wake Forest, NC	US	OH	NC
S1-730406535	S1-378245327	Dental Center	Dental Center	513 N Star Road, Mooers, NY	12814 175th Avenue, Monroe, WA	US	NY	WA
S1-834310926	S1-938749335	Physical Therapy Specialists LLC	Physical Therapy Specialists LLC	1505 Rolling Road, Unit APARTMENT 110, Catonsville, MD	TX, 205 Pecan Street, Keller	US	MD	TX
S1-134765755	S1-514423627	Valley Coalition	Valley Coalition	Springdale, AR, 20591 Sonora Road	9628 Laurel Lane, Fl 1, Scottsdale, AZ	US	AR	AZ
S1-554652027	S1-543722172	Surgical Care, LLC	Surgical Care LLC	14758 Via Sorrento Drive, Charlotte, NC	3117 Lamont Street, Tyler, TX	US	NC	TX
S1-196781452	S1-857865367	Office of Consumer Affairs	Office of Consumer Affairs	17 Tallwoods Road, North Castle, NY	2885 Savannah Drive, Aurora, IL	US	NY	IL
S1-344483767	S1-615144404	Behavioral Health Specialists	Behavioral Health Specialists	514 Springfield Pike, Springfield, WV	384 Rawls Creek Road, Gordonsville, TN	US	WV	TN
S1-707200563	S1-355360961	Internal Medicine Center	Internal Medicine Center	107 Howard Circle, Unit A, Greenville, NC	7 Third Street, Andover, NY	US	NC	NY
S1-700379830	S1-20023045	Economic Development Federation	Economic Development Federation	3607 Nuttree Woods Drive, Chesterfield County, VA	7015 Milagro Circle, Mesa, AZ	US	VA	AZ
S1-620678354	S1-986280179	Bureau of Parks and Recreation	Bureau of Parks and Recreation	1161 Boxwood Drive, Crystal Lake, IL	MA, Unit 1, Everett, 215 Hancock Street	US	IL	MA
S1-428584262	S1-484133102	Redwood Inc.	Redwood Inc	886 Morella Road, Trimble, TN	AZ, Rimrock, 5495 Bentley Drive	US	TN	AZ
S1-118403065	S1-793510573	Commission on Labor	Commission on Labor	10498 N Frontage Road, Unit 57, Yuma, AZ	4117 Oakstone Drive, Smyrna, TN	US	AZ	TN
S1-244411872	S1-357344139	Holy Israel	Holy Israel	89 Hidden Hill Road, New Hartford, CT	Fair Oaks, CA, 5337 Sunrise Boulevard	US	CT	CA
S1-132880363	S1-306949675	Womens Health Partners	Womens Health Partners	5 Warren Avenue, Bedford, MA	4109 Tudor Road, Upper Marlboro, MD	US	MA	MD
S1-255113999	S1-377101770	Little Pub	Little Pub	209 Sumner Street, Unit 63, Boston, MA	NC, 1917 20th Street Circle, Hickory	US	MA	NC
S1-593377275	S1-550246730	Division of Housing	Division of Housing	130 Leeward Court, Vacaville, CA	6830 Longview Drive, New Kent County, VA	US	CA	VA
S1-611881336	S1-402426509	American Network	American Network	121 7th Street, Sioux Center, IA	NC, 1402 Old Mill Farm Road, Lexington	US	IA	NC
S1-452989052	S1-913982291	White, Gomez & Lomax	White, Gomez & Lomax	1120 Shadowview Way, Unit APT D, Indianapolis, IN	1320 Buffalo Road, Unit Suite 114, Gates, NY	US	IN	NY
S1-268575400	S1-14738221	Urology Pioneer Associates LLC	Urology Pioneer Associates LLC	21 Worcester Street, West Springfield, MA	1903 Gloucester Point Drive, Gloucester County, VA	US	MA	VA
S1-244411872	S1-89687386	Holy Israel	Holy Israel	89 Hidden Hill Road, New Hartford, CT	1 Crabtree Court, Unit APARTMENT A, Nottingham, MD	US	CT	MD
S1-824611416	S1-480806934	Ridge Fellowship	Ridge Fellowship	6621 Shasta Street, Picacho, AZ	114 Timber Top Drive, Spring, TX	US	AZ	TX
S1-146373007	S1-980395056	Maid Tavern!	Maid Tavern!	31 Cardogan Square, Penfield, NY	1596 Eloisa Lane, Thatcher, AZ	US	NY	AZ
S1-594651635	S1-988321030	Primary Care Associates LLC	Primary Care Associates LLC	8366 Little England Road, Gloucester County, VA	405 Oak Street, Unit Ste 5, Conway, AR	US	VA	AR
S1-520944543	S1-694137400	1 800 Got Junk	1 800 Got Junk	630 Chip Court, Gurnee, IL	VA, Carroll County, 13 Litteral Valley Park	US	IL	VA
S1-426680284	S1-33022604	Little Tattoo	Little Tattoo	2111 John Arthur Road, Franklin County, VA	844 Harvest Circle, Horace, ND	US	VA	ND
S1-846240479	S1-299640596	Anvil LLC	Anvil LLC	321 31st Avenue, Unit 313, Nashville, TN	14907 Carrolton Road, Rockville, MD	US	TN	MD
S1-207162091	S1-299434720	Twisted Bike Shop	Twisted Bike Shop	808 Havenwood Court, Raleigh, NC	2015 Glenview Road, Glenview, IL	US	NC	IL
S1-806275532	S1-82768236	Sirius LLC	Sirius LLC	645 Mallory Avenue, Memphis, TN	Seneca, IL, 250 Hillsman Lane	US	TN	IL
S1-860675033	S1-899064578	Pacific Ministries LLC	Pacific Ministries LLC	8622 Peppertree Lane, Knoxville, TN	5675 Regent Street, Town Of Hull, WI	US	TN	WI
S1-201033913	S1-932318328	Department of Parks and Recreation	Department of Parks and Recreation	403 Stanford Street, Lancaster, KY	241 Elm Street, Watsonville, CA	US	KY	CA
S1-261004875	S1-522543700	Dermatology Specialists LLC	Dermatology Specialists LLC	Glenview, 408 Warren Road, IL	405 Lee Avenue, Colonial Heights City, VA	US	IL	VA
S1-154130027	S1-389534645	Lucky Diner!	Lucky Diner	9391 River Oaks Lane, Orangevale, CA	209 12th Street, IL, Cairo	US	CA	IL
S1-406709580	S1-343224704	Tri-State Program	Tri-State Program	765 Coldwater Drive, Clayton, DE	1853 Sunburst Road, Show Low, AZ	US	DE	AZ
S1-471672733	S1-258463054	Cobalt Inc	Cobalt Inc	2535 Kingman Avenue, Kingman, AZ	CA, Sacramento, 6312 Oakridge Way	US	AZ	CA
S1-378147874	S1-465331031	Sapphire Inc	Sapphire Inc.	120 St Albans Drive, Unit 489, Raleigh, NC	21 Hoyt Drive, Conway, AR	US	NC	AR
S1-240258893	S1-910195628	Office of Aging	Office of Aging	7412 Rayfords Court, Liberty, NC	107 Portland Street, Morristown, VT	US	NC	VT
S1-58295225	S1-586348044	Aurora LLC	Aurora LLC	220 Downer Place, Unit #308, Aurora, IL	Frankfort, 2348 Albany Road, NY	US	IL	NY
S1-894169062	S1-448582547	Bartlett Family Practice	Bartlett Family Practice	7600 Birdie Court, Sacramento, CA	3261 George Ii Highway, Boiling Spring Lakes, Unit B, NC	US	CA	NC
S1-292426649	S1-827516507	Obsidian LLC	Obsidian LLC	111 Adrian Place, Atlanta, GA	3949 Santa Anna Place, San Luis, AZ	US	GA	AZ
S1-515822124	S1-752971281	Physical Therapy Associates Inc.	Physical Therapy Associates Inc	2647 Shale Road, Noble, IL	1219 Siniard Drive, Huntsville, AL	US	IL	AL
S1-707200563	S1-88592935	Internal Medicine Center	Internal Medicine Center	107 Howard Circle, Unit A, Greenville, NC	2812 13th Avenue, WA, Spokane	US	NC	WA
S1-129080146	S1-195181543	Arts Federation	Arts Federation	305 Route 711 Highway, East Wheatfield, PA	WI, 6635 Wagner's Vineyard Trail, Village Of Windsor	US	PA	WI
S1-163656769	S1-37290366	Stag LLC	Stag LLC	9 3B Second Street, Frederick, MD	10729 Lafayette Avenue, Shirley, IL	US	MD	IL
S1-283197107	S1-351910100	Pediatric Dental Partners	Pediatric Dental Partners	24491 122, Beaver, KY	909 Beach Drive, Oak Island, NC	US	KY	NC
